nombre|tipo|vida|energia|h0_nombre|h0_desc|h0_danio|h0_coste|h0_efecto|h0_fisico|h1_nombre|h1_desc|h1_danio|h1_coste|h1_efecto|h1_fisico|h2_nombre|h2_desc|h2_danio|h2_coste|h2_efecto|h2_fisico|h3_nombre|h3_desc|h3_danio|h3_coste|h3_efecto|h3_fisico|h4_nombre|h4_desc|h4_danio|h4_coste|h4_efecto|h4_fisico|puede_curarse|herramienta_maldita|sin_energia|especial
Nobara Kugisaki|HECHICERO|400|250|Resonancia|Vínculo de alma|40|20|NORMAL|false|Horquilla|Explosión|60|35|NORMAL|false|Martillazo|Golpe cargado|80|50|NORMAL|true|Lluvia de Clavos|Área de clavos|100|65|NORMAL|false|Clavo Físico|Estocada|120|120|NORMAL|true|false|false|false|false
Hanami|MALDICION|550|300|Raíces|Empalamiento|40|20|NORMAL|false|Semillas|Drenaje|60|35|NORMAL|false|Rayo Solar|Haz de luz|80|50|NORMAL|false|Golpe de Madera|Impacto|100|65|NORMAL|true|EXPANSIÓN: MAR DE FLORES|Drena vida en área|120|120|NORMAL|false|false|false|false|false
Hajime Kashimo|HECHICERO|490|400|Descarga|Rayo seguro|40|20|NORMAL|false|Báculo Físico|Golpe conductor|60|35|NORMAL|true|Electrólisis|Vapor|80|50|NORMAL|false|Patada Magnética|Ataque|100|65|NORMAL|true|ÁMBAR MÍTICO|Forma final|120|120|NORMAL|false|false|false|false|false
Mei Mei|HECHICERO|450|250|Corte Hacha|Tajo|40|20|NORMAL|true|Bird Strike|Suicidio de cuervo letal|60|35|NORMAL|false|Patada|Físico|80|50|NORMAL|true|Golpe de Mango|Ataque contundente|100|65|NORMAL|true|Ataque Rápido|Tajo leve|120|120|NORMAL|true|false|true|false|false
Inumaki Toge|HECHICERO|360|300|¡Explota!|Comando fatal|40|20|NORMAL|false|¡Aplastate!|Presión gravitatoria|60|35|NORMAL|false|Grito Sónico|Onda choque|80|50|NORMAL|false|Golpe Leve|Físico|100|65|NORMAL|true|Sentencia Final|Daño extremo con retroceso|120|120|NORMAL|false|false|false|false|false
Panda|HECHICERO|550|200|Núcleo Gorila|Fuerza|40|20|NORMAL|true|Cañón Tambor|Daño interno|60|35|NORMAL|false|Núcleo Rhino|Embestida|80|50|NORMAL|true|Zarpazo|Ataque físico|100|65|NORMAL|true|Trío de Golpes|Combo final|120|120|NORMAL|true|false|false|false|false
Hiromi Higuruma|HECHICERO|470|380|Golpe de Mazo|Golpe físico con el mazo de Judgeman|55|20|NORMAL|true|Confiscación|Judgeman confisca habilidades del rival temporalmente reduciendo su daño|40|35|DEBILITADO|false|Testigo de Cargo|Invoca evidencia maldita que golpea al rival en el alma|75|50|NORMAL|false|VEREDICTO: CULPABLE|Judgeman dicta sentencia: daño masivo e inmoviliza 1 turno|100|80|ATURDIDO|false|EXPANSIÓN: TRIBUNAL MALDITO|El dominio de Higuruma. El enemigo es juzgado por Judgeman y debe defenderse del crimen que se le imputa.|0|120|NORMAL|false|false|false|false|false
Angel (Hana Kurusu)|HECHICERO|440|420|Tajo Celestial|Corte con la Katana Jacob que ignora defensa mágica|60|25|NORMAL|true|Purificación|Elimina efectos negativos propios y cura levemente|0|40|NORMAL|false|Lluvia de Plumas|Ráfaga de cortes angélicos a distancia|75|55|NORMAL|false|JACOB: ANIQUILACIÓN|La katana Jacob destruye técnicas malditas: daño doble a Maldiciones e ignora su esquiva|110|85|NORMAL|true|ESCALERA DE JACOB|Técnica máxima: Angel invoca la escalera celestial completa. Lluvia de cortes de luz que atraviesa cualquier defensa y purifica al objetivo.|180|130|NORMAL|true|false|false|false|false
Kenjaku|HECHICERO|580|550|Manipulación de Maldiciones|Lanza una horda de maldiciones robadas a enemigos anteriores. Daño moderado garantizado.|65|25|NORMAL|false|Técnica Robada: Ultravioleta|Kenjaku activa una técnica copiada de un hechicero caído. Rayo de energía concentrado.|90|45|NORMAL|false|Barrera Anti-Hechicero|Despliega una barrera que debilita las técnicas del rival durante 2 turnos y reduce su daño.|30|60|DEBILITADO|false|UZUMAKI MODIFICADO|Kenjaku combina varias técnicas robadas en una sola descarga devastadora. Daño masivo al alma.|130|90|NORMAL|false|EXPANSIÓN: GRAN JUEGO|El dominio de Kenjaku: sumerge al rival en el protocolo de fusión con Tengen. Inmoviliza 2 turnos y drena energía cada turno activo.|60|130|ATURDIDO|false|false|false|false|false
Naoya Zenin|HECHICERO|460|300|Vórtice|Golpe físico potenciado por una espiral de aire comprimido. Muy veloz y difícil de esquivar.|65|20|NORMAL|true|Ventilación: Ráfaga|Descarga de aire a presión que golpea múltiples veces seguidas en fracciones de segundo.|80|35|NORMAL|true|Barrera de Sonido|Naoya se mueve tan rápido que rompe la barrera del sonido; el impacto causa desorientación. Inmoviliza 1 turno.|55|50|ATURDIDO|true|Ventilación: Espiral Letal|Técnica máxima física: vórtice de aire concentrado que desgarra desde adentro. Ignora guardia.|120|75|NORMAL|true|Torrente: Última Velocidad|Naoya alcanza su velocidad máxima absoluta. Golpe tan rápido que el rival no puede reaccionar. Alta probabilidad de Black Flash.|140|100|NORMAL|true|false|false|false|false
Yuki Tsukumo|HECHICERO|530|380|Puñetazo de Masa Virtual|Yuki añade masa virtual a su puño. Golpe físico con un peso aplastante que atraviesa defensas débiles.|70|20|NORMAL|true|Garuda: Embestida|Lanza a su shikigami Garuda con masa virtual máxima. Impacto de alta energía cinética.|90|40|NORMAL|false|Masa Virtual: Escudo|Yuki rodea su cuerpo de masa virtual comprimida. Reduce el daño recibido a la mitad este turno y contraataca con 40 de daño fijo.|40|55|NORMAL|false|Garuda: Impacto Gravitacional|Garuda y Yuki combinan su masa virtual en un solo punto. Golpe que deforma el espacio a su alrededor.|115|80|NORMAL|true|MASA VIRTUAL: COLAPSO ESTELAR|Técnica máxima: Yuki concentra toda su masa virtual en un único punto de singularidad y lo libera sobre el rival. Daño devastador que ignora cualquier reducción.|170|125|NORMAL|true|false|false|false|false
Mahoraga (General Divino)|MALDICION|800|500|Golpe Fisico|Ataque bruto|50|0|NORMAL|true|Adaptacion|Regeneracion rapida|0|50|NORMAL|false|Tajo de Exterminio|Instakill a cualquier Maldicion|150|100|NORMAL|true|Rafaga de golpes|Multigolpe|70|20|NORMAL|true|Embestida pesada|Danio puro|90|30|NORMAL|true|false|false|false|true
Naoya Zenin (Maldicion)|MALDICION|550|0|Vortice Maldito|Aire corrompido con CE.|95|0|NORMAL|true|Ventilacion: Torbellino|Espiral de odio.|115|0|NORMAL|true|Barrera Sonica Maldita|Inmoviliza 2 turnos.|75|0|ATURDIDO|true|Orgullo del Clan Zenin|+100 HP y potenciado 2 turnos.|0|0|POTENCIADO|false|TORMENTA FINAL: RENCOR|No puede bloquearse ni esquivarse.|190|0|NORMAL|true|false|false|true|true
